Topic,Words,Frequency,Timestamp,Name
14,"language, advertising, students, teaching, chinese",3,1999.7,14_language_languages_teaching_teachers
15,"industrial, firms, italy, economics, industry",1,1999.7,15_capital_capitalism_economic_economics
16,"poland, baltic, serbia, lithuania, belarusian",3,1999.7,16_polish_poland_yugoslavia_kosovo
18,"insurance, services, insurers, coverage, healthcare",5,1999.7,18_health_care_insurance_healthcare
19,"islamic, muslim, islam, religion, mosque",2,1999.7,19_islamic_islam_muslim_muslims
20,"oda, aid, tanzania, poverty, donor",1,1999.7,20_aid_donors_donor_countries
21,"nehrus, nehru, indias, indian, india",1,1999.7,21_terrorism_terrorist_attacks_terrorist...
22,"university, academic, universities, concentration, singapore",2,1999.7,22_universities_university_academic_facu...
23,"schools, education, school, childs, children",2,1999.7,23_education_school_students_schools
24,"corruption, cartel, vitamins, cartels, fraud",4,1999.7,24_corruption_corrupt_bribery_bribes
25,"electoral, voters, voting, vote, election",5,1999.7,25_voting_electoral_voters_vote
26,"nmi, nmis, dods, compensation, dod",2,1999.7,26_military_forces_war_army
27,"administrators, administrative, ruler, constitutionalism, rulers",1,1999.7,27_constitutional_constitution_law_court...
28,"korea, japan, korean, japans, japanese",3,1999.7,28_korea_japan_korean_japanese
29,"schools, ottoman, turkish, turkey, education",1,1999.7,29_turkey_turkish_turkeys_kurdish
30,"education, vocational, colleges, universities, chinas",3,1999.7,30_students_education_universities_colle...
33,"conservation, environmental, endangered, regulators, regulatory",1,1999.7,33_environmental_conservation_biodiversi...
34,"enterprise, industrial, market, stability, fluctuations",1,1999.7,34_growth_ukraine_economic_production
39,"development, sustainable, wellbeing, agenda, nigerians",2,1999.7,39_development_poverty_sustainable_mdgs
42,"crisis, financial, crises, china, debt",3,1999.7,42_crises_debt_financial_currency
43,"mascot, indonesia, indonesias, mascots, citys",2,1999.7,43_indonesia_indonesian_indonesias_malay...
44,"diplomacy, interactivity, communication, foreign, affairs",2,1999.7,44_diplomacy_diplomatic_diplomats_foreig...
45,"tourism, music, musicians, tourists, tourist",1,1999.7,45_tourism_tourists_tourist_destination
47,"american, soviet, war, us, communist",1,1999.7,47_soviet_war_us_military
48,"sociopolitical, nigeria, ethnic, country, governance",1,1999.7,48_nigeria_nigerian_nigerias_government
50,"nordic, german, russia, swedish, norwegian",2,1999.7,50_russia_ukraine_russian_crimea
53,"water, drought, city, citys, towns",1,1999.7,53_city_cities_urban_neighborhood
55,"students, training, educational, pedagogical, education",2,1999.7,55_education_educational_students_univer...
56,"brazil, brazilian, psychology, latin, america",2,1999.7,56_brazil_brazilian_brazils_regional
59,"ideological, education, universities, teachers, innovation",2,1999.7,59_ideological_education_colleges_politi...
62,"disaster, cities, disasters, downtown, urban",2,1999.7,62_disaster_disasters_earthquake_emergen...
63,"internationalization, university, students, universities, universitys",1,1999.7,63_internationalization_universities_uni...
64,"gilpins, gilpin, global, war, world",1,1999.7,64_us_china_world_american
66,"ethics, river, basins, cameroon, sanitation",2,1999.7,66_sanitation_dams_toilets_dam
67,"japan, companies, uae, industry, lng",1,1999.7,67_gas_oil_petroleum_production
68,"leadership, work, workplace, workers, competence",2,1999.7,68_leadership_leaders_leader_organizatio...
73,"us, russia, war, soviet, ussr",2,1999.7,73_foreign_diplomacy_russia_internationa...
74,"accounting, financial, standards, ifrss, disclosure",2,1999.7,74_accounting_standards_accountants_cart...
75,"innovation, organization, collaborative, technology, innovative",2,1999.7,75_innovation_technology_technological_i...
77,"religion, liberal, us, war, liberalism",2,1999.7,77_obama_trump_us_war
78,"citizenship, citizens, finnish, european, identity",1,1999.7,78_citizenship_citizens_born_citizen
80,"israel, palestinian, israeli, palestinians, gaza",4,1999.7,80_israel_palestinian_israeli_palestinia...
81,"regionalism, regional, asiapacific, region, states",2,1999.7,81_regionalism_regional_regions_european
87,"engineering, projects, students, irrigation, ethics",1,1999.7,87_engineering_students_engineers_learni...
89,"systems, governance, agriculture, society, organizations",1,1999.7,89_agriculture_agricultural_foodservice_...
93,"sri, mentawai, lanka, rice, lankan",2,1999.7,93_lanka_lankan_tamil_islands
94,"academic, learning, curriculum, developers, educational",1,1999.7,94_universities_education_university_aca...
96,"australian, australia, australias, growth, inflation",1,1999.7,96_australian_australia_australias_indig...
97,"mongolia, mongolias, kazakhstan, uzbekistan, mongolian",1,1999.7,97_kazakhstan_mongolia_uzbekistan_kazakh
102,"protocol, diplomatic, russian, international, partner",1,1999.7,102_multilateral_multilateralism_interna...
103,"kellnerheinkele, library, language, handbook, edition",1,1999.7,103_library_university_mu_libraries
104,"health, sociology, healthcare, social, illness",1,1999.7,104_sociology_typologies_social_regulati...
111,"peacebuilding, conflicts, peace, conflict, africa",1,1999.7,111_peacebuilding_peace_humanitarian_con...
113,"qaeda, terrorist, apocalyptic, war, qaedas",1,1999.7,113_militant_isis_propaganda_jihadist
115,"judicial, judges, judiciary, european, court",2,1999.7,115_judicial_eu_ecj_judges
116,"institutions, institutional, compliance, agreements, organizational",3,1999.7,116_institutional_institutions_instituti...
122,"learners, discipline, learner, educators, misconduct",1,1999.7,122_schools_school_schooling_teachers
125,"armenian, genocide, churches, armenians, armenia",1,1999.7,125_genocide_rwanda_rwandan_deadwood
129,"terrorist, terrorism, terrorists, attacks, alqaeda",1,1999.7,129_cyber_attack_cyberwar_cyberspace
135,"growth, cultural, reforms, reform, culture",2,1999.7,135_industrial_growth_protoindustries_pr...
-1,"social, can, research, such, education",146,2002.6,-1_we_can_more_social
0,"court, courts, legal, sentencing, arbitration",24,2002.6,0_law_court_courts_legal
1,"media, aboriginal, web, digital, internet",11,2002.6,1_media_news_internet_digital
2,"eu, european, eus, ukraine, agreements",18,2002.6,2_eu_european_eus_europe
3,"immigrants, migration, immigration, migrants, latino",10,2002.6,3_migration_migrants_immigration_immigra...
4,"african, africa, reparation, uganda, political",10,2002.6,4_african_africa_government_political
5,"china, chinese, chinas, arbitration, foreign",5,2002.6,5_china_chinese_chinas_economic
6,"science, students, journals, postdoctoral, scientists",5,2002.6,6_journals_journal_scientists_publicatio...
7,"aging, older, youth, health, age",4,2002.6,7_children_poverty_labor_school
8,"women, gender, womens, vote, female",8,2002.6,8_women_gender_womens_female
9,"climate, bioengineering, environmental, emissions, deforestation",5,2002.6,9_climate_emissions_environmental_carbon
10,"rights, peace, iachr, international, interamerican",4,2002.6,10_rights_right_consent_law
11,"churches, religious, pastors, religion, uganda",3,2002.6,11_religious_religion_churches_god
12,"democracy, political, elections, democratic, sectarian",5,2002.6,12_democracy_political_democratic_partie...
13,"globalization, culture, global, cultural, belarusian",10,2002.6,13_globalization_global_world_culture
14,"language, bilingual, languages, teaching, students",4,2002.6,14_language_languages_teaching_teachers
15,"forecast, analyst, analysts, optimism, forecasts",2,2002.6,15_capital_capitalism_economic_economics
16,"yugoslavia, yugoslav, socialists, socialist, tito",2,2002.6,16_polish_poland_yugoslavia_kosovo
17,"russia, russian, russias, putin, nato",2,2002.6,17_russian_russia_russias_moscow
18,"insurance, reform, care, medicaid, medicare",3,2002.6,18_health_care_insurance_healthcare
19,"islamic, law, contract, islam, court",1,2002.6,19_islamic_islam_muslim_muslims
20,"aid, blood, donate, assistance, donors",4,2002.6,20_aid_donors_donor_countries
21,"terrorism, terrorist, counterterrorism, attacks, violence",4,2002.6,21_terrorism_terrorist_attacks_terrorist...
22,"universities, education, research, student, university",1,2002.6,22_universities_university_academic_facu...
23,"agriculture, teachers, climate, school, education",2,2002.6,23_education_school_students_schools
24,"fcpa, corruption, bribery, corrupt, fcpas",1,2002.6,24_corruption_corrupt_bribery_bribes
25,"candidates, candidate, voters, vote, election",3,2002.6,25_voting_electoral_voters_vote
26,"nato, military, ukraine, kuma, russia",2,2002.6,26_military_forces_war_army
27,"constitutional, constitution, religion, religious, denmark",2,2002.6,27_constitutional_constitution_law_court...
28,"japanese, japan, japans, korea, chinese",4,2002.6,28_korea_japan_korean_japanese
29,"turkish, turkey, lebanese, turkeys, lebanon",2,2002.6,29_turkey_turkish_turkeys_kurdish
30,"students, universities, japanese, china, university",3,2002.6,30_students_education_universities_colle...
31,"teachers, teacher, education, teaching, students",5,2002.6,31_teachers_teacher_teaching_students
32,"arab, islamic, saudi, egypt, iran",4,2002.6,32_arab_saudi_egypt_aid
33,"biodiversity, environmental, politics, governance, conservation",2,2002.6,33_environmental_conservation_biodiversi...
34,"engineering, development, economic, ukraine, growth",3,2002.6,34_growth_ukraine_economic_production
35,"asean, aseans, asia, asian, myanmar",1,2002.6,35_asean_myanmar_asia_asian
36,"kazan, sports, sport, training, games",2,2002.6,36_sports_sport_games_athletes
37,"wastes, waste, hazardous, environmental, regulations",1,2002.6,37_sustainability_sustainable_environmen...
38,"entrepreneurship, obrazovanja, entrepreneurial, business, entrepreneurs",2,2002.6,38_entrepreneurship_entrepreneurial_entr...
39,"responsibility, obligations, sdg, sdgs, development",1,2002.6,39_development_poverty_sustainable_mdgs
40,"ecowas, gambia, intervention, sovereignty, gambian",1,2002.6,40_state_sovereignty_territory_states
42,"crisis, currency, crises, financial, debt",6,2002.6,42_crises_debt_financial_currency
43,"broadcasting, indonesia, broadcast, tv, broadcasters",1,2002.6,43_indonesia_indonesian_indonesias_malay...
45,"tourism, sports, destination, visitors, tourist",1,2002.6,45_tourism_tourists_tourist_destination
46,"governance, democracy, nigeria, stakeholders, regulators",3,2002.6,46_governance_accountability_ngos_democr...
47,"soviet, gorbachevs, gorbachev, 199495, war",1,2002.6,47_soviet_war_us_military
48,"nigeria, nigerias, nigerian, africa, foreign",2,2002.6,48_nigeria_nigerian_nigerias_government
49,"veterans, blacks, collegiate, colleges, war",1,2002.6,49_students_education_universities_colle...
50,"ukraine, russia, crimea, ukrainian, crimean",6,2002.6,50_russia_ukraine_russian_crimea
52,"world, ethicopolitical, legitimacy, moral, functionalist",1,2002.6,52_moral_legitimacy_autonomy_property
53,"cities, city, urban, cultural, debate",2,2002.6,53_city_cities_urban_neighborhood
54,"asaba, troops, biafran, killings, ogwashiuku",1,2002.6,54_canadian_federal_canada_government
55,"education, universities, university, academic, committee",1,2002.6,55_education_educational_students_univer...
56,"angola, angolan, mpla, brazil, africa",1,2002.6,56_brazil_brazilian_brazils_regional
57,"arctic, maritime, ocean, sea, route",1,2002.6,57_maritime_piracy_sea_inuit
58,"tari, doha, trade, taris, countries",2,2002.6,58_wto_trade_dispute_settlement
59,"ideological, culture, teaching, cultural, education",1,2002.6,59_ideological_education_colleges_politi...
60,"freedom, law, bukky, legal, criminal",2,2002.6,60_law_legal_eu_jurisdiction
61,"conflict, civil, risk, war, neighborhoods",2,2002.6,61_conflict_violence_peace_conflicts
62,"disasters, disaster, earthquake, risk, earthquakes",2,2002.6,62_disaster_disasters_earthquake_emergen...
63,"students, abroad, universities, internationalization, university",1,2002.6,63_internationalization_universities_uni...
64,"british, empire, britain, navy, war",1,2002.6,64_us_china_world_american
65,"library, requesting, libraries, copyright, copies",1,2002.6,65_copyright_authors_rabbinic_author
66,"governance, alberta, hydropower, albertas, dam",1,2002.6,66_sanitation_dams_toilets_dam
67,"wind, energy, renewable, planning, turbines",1,2002.6,67_gas_oil_petroleum_production
68,"leadership, women, leaders, ethical, workplace",1,2002.6,68_leadership_leaders_leader_organizatio...
69,"heritage, kurdish, cultural, festival, unesco",2,2002.6,69_heritage_cultural_unesco_archaeologic...
70,"governance, study, impact, interventions, factors",1,2002.6,70_evaluation_development_policy_assessm...
71,"ethical, ethics, robots, robot, moral",1,2002.6,71_ethical_ethics_moral_business
72,"war, military, armed, wars, forces",5,2002.6,72_war_military_wars_wartime
74,"rca, sectors, sectoral, accounting, districts",1,2002.6,74_accounting_standards_accountants_cart...
76,"ngos, organizations, ngo, government, funding",3,2002.6,76_ngos_organizations_nonprofit_ngo
77,"liberal, american, strategic, us, war",1,2002.6,77_obama_trump_us_war
78,"citizenship, singapore, citizens, malaysian, malaya",4,2002.6,78_citizenship_citizens_born_citizen
79,"culture, macedonia, macedonian, albanians, albanian",1,2002.6,79_culture_cultural_village_community
80,"israel, palestine, palestinian, palestinians, israeli",3,2002.6,80_israel_palestinian_israeli_palestinia...
81,"organizations, international, policy, policies, regionalism",1,2002.6,81_regionalism_regional_regions_european
82,"organizations, organizational, government, organization, administration",1,2002.6,82_organizations_organizational_organiza...
83,"prison, resocialization, prisoners, spatial, prisons",1,2002.6,83_crime_police_policing_criminal
87,"engineering, engineers, education, lees, accreditation",1,2002.6,87_engineering_students_engineers_learni...
91,"india, indias, indian, revisionist, strategic",1,2002.6,91_india_indias_indian_tourism
93,"sri, peacebuilding, lanka, peace, lankan",1,2002.6,93_lanka_lankan_tamil_islands
96,"indigenous, aboriginal, australia, australian, colonisation",1,2002.6,96_australian_australia_australias_indig...
97,"ecological, kazakhstan, kazakh, mongolia, uzbekistan",2,2002.6,97_kazakhstan_mongolia_uzbekistan_kazakh
99,"agricultural, agriculture, farmers, sector, production",1,2002.6,99_agricultural_farmers_gm_crops
100,"humanists, subjectcentered, designs, inquiry, curriculum",1,2002.6,100_empowerment_volunteers_participation...
101,"publishing, libraries, scholarly, scholarship, university",1,2002.6,101_library_libraries_consultants_librar...
102,"vanuatu, indonesia, disaster, indonesias, pacific",1,2002.6,102_multilateral_multilateralism_interna...
103,"discussion, documents, documentation, debate, library",2,2002.6,103_library_university_mu_libraries
104,"serbian, army, serbia, war, serbs",1,2002.6,104_sociology_typologies_social_regulati...
105,"drilling, policy, lakes, preferences, climate",1,2002.6,105_policy_legislators_rationality_polic...
106,"corporate, responsibility, paternalism, corporations, company",2,2002.6,106_corporate_companies_corporations_sha...
109,"ecology, ecologists, blaikie, ecologist, environmental",1,2002.6,109_community_lawyering_clients_rights
110,"china, vocational, universities, chinese, international",2,2002.6,110_china_silk_timorleste_language
112,"antivenoms, antivenom, venoms, snakebite, venom",1,2002.6,112_antivenoms_infectious_antivenom_dise...
113,"wolf, wolves, lwt, lwts, terrorist",1,2002.6,113_militant_isis_propaganda_jihadist
114,"nonviolent, violent, campaigns, mobilization, disobedience",1,2002.6,114_hungarian_iran_attacks_nato
115,"litigation, eu, judicial, court, european",1,2002.6,115_judicial_eu_ecj_judges
118,"fdi, investment, investor, transactions, enterprises",1,2002.6,118_israeli_israel_investment_investor
119,"copyright, patent, economics, patents, court",1,2002.6,119_patent_patents_court_copyright
121,"brazil, india, russia, china, brics",1,2002.6,121_g20_brics_brazil_brazils
122,"schools, schooling, school, educational, students",2,2002.6,122_schools_school_schooling_teachers
123,"education, globalization, universities, university, chinas",1,2002.6,123_education_internationalization_stude...
124,"ideology, cyberspace, socialist, ideological, chinas",1,2002.6,124_chinese_culture_china_ideological
126,"anthropology, political, politics, ethnographic, anthropologists",1,2002.6,126_anthropology_art_political_vichy
129,"constitutional, president, statute, veto, presidential",1,2002.6,129_cyber_attack_cyberwar_cyberspace
130,"irans, iran, rouhanis, rouhani, iranian",1,2002.6,130_iran_irans_iranian_gulf
131,"tax, taxation, law, harmonisation, taxes",1,2002.6,131_tax_taxation_taxes_reform
132,"decentralization, governments, fiscal, government, political",1,2002.6,132_decentralization_normbuilding_govern...
133,"cadets, conference, academies, international, military",1,2002.6,133_un_nations_civilizations_internation...
139,"china, africa, chinas, african, aid",2,2002.6,139_africa_aid_angola_namibia
-1,"we, students, were, research, social",218,2005.5,-1_we_can_more_social
0,"law, court, courts, legal, judicial",24,2005.5,0_law_court_courts_legal
1,"media, news, broadcasting, technology, digital",17,2005.5,1_media_news_internet_digital
2,"eu, european, union, commission, integration",23,2005.5,2_eu_european_eus_europe
3,"migration, migrants, immigration, immigrants, migrant",19,2005.5,3_migration_migrants_immigration_immigra...
4,"africa, african, government, political, civil",20,2005.5,4_african_africa_government_political
5,"china, chinas, chinese, economic, global",6,2005.5,5_china_chinese_chinas_economic
6,"science, journals, scientific, journal, sciences",12,2005.5,6_journals_journal_scientists_publicatio...
7,"inequality, fertility, poverty, children, income",9,2005.5,7_children_poverty_labor_school
8,"women, gender, womens, female, girls",9,2005.5,8_women_gender_womens_female
9,"climate, emissions, environmental, carbon, environment",11,2005.5,9_climate_emissions_environmental_carbon
10,"rights, commission, bloc, un, apartheid",4,2005.5,10_rights_right_consent_law
11,"church, religious, religion, cyprus, cypriots",6,2005.5,11_religious_religion_churches_god
12,"latin, bogotazo, bogota, colombian, democracy",2,2005.5,12_democracy_political_democratic_partie...
13,"globalization, poverty, poor, economic, countries",5,2005.5,13_globalization_global_world_culture
14,"english, language, teaching, students, languages",4,2005.5,14_language_languages_teaching_teachers
15,"economic, productcountry, hearst, capital, policy",8,2005.5,15_capital_capitalism_economic_economics
16,"yugoslavia, poland, kosovo, yugoslav, serbia",9,2005.5,16_polish_poland_yugoslavia_kosovo
17,"russian, russia, moscow, russias, privatization",6,2005.5,17_russian_russia_russias_moscow
18,"health, care, medicaid, services, insurance",7,2005.5,18_health_care_insurance_healthcare
